"id","name","st_x","st_y"
1973,"Misenga",14.313333,-4.366111
1967,"Lufulu",15.1075,-5.78222
1986,"Vooka di Kikangu",14.85016,-5.173514
2023,"Kidia",15.14417,-5.78583
2090,"Mpungu a Nanga",13.791197,-5.458825
1975,"Kazu 2",13.7394,-5.50028
2088,"Yidi",13.786518,-5.454758
2092,"Nkondo 2",13.792816,-5.458014
2257,"SNP-03",20.550064,-1.697417
1974,"Bu 3",13.78425,-5.44887
1439,"Inganda",18.854675,1.017651
1440,"Nkole",18.861076,1.039209
1444,"Boso-Njafo-Mission",19.261337,1.139743
2417,"ML01",17.510963,3.738201
1441,"Boyeka",18.880184,1.040328
1508,"Bidzar",14.1,9.883333
2095,"Mbanza-Manteke 2",13.8172,-5.4644
2081,"Kakia Humba",13.737801,-5.429664
2042,"Luidi",15.671582,-5.630641
2061,"Lemfu",15.00878,-5.06185
2063,"Malau",15.16083,-5.783333
2065,"Ngongo Mbata",15.1166,-5.7813
2059,"Kazu 6",13.73111,-5.52278
1995,"Vooka di Kindela",15.27353,-5.41094
2069,"Kilolo Senga",13.6331,-4.9531
2039,"Vooka di Kitsiele",15.15339,-5.7303
2071,"Misenga 2",14.30944,-4.36056
2073,"Misenga 4",14.36611,-4.36611
2075,"Misenga 7",14.37056,-4.37056
2077,"Nkulu",13.676466,-5.354146
2040,"Kindingu",15.48907,-5.70982
2079,"Kimbwinga 2",13.697832,-5.373675
2067,"Kingondo",15.13236,-5.75444
2097,"Zongo 1",14.877302,-4.779517
2099,"Kibula",15.036841,-4.861859
2041,"Kingufulu",15.66808,-5.63117
2083,"Bu 5e",13.7792,-5.4478
2085,"Bu 5a",13.7811,-5.4472
2089,"Nkinga",13.787308,-5.459392
2101,"Kingudi 2",15.121491,-4.874391
2103,"Kinto",15.126866,-4.981105
2105,"Nseke-Nsandi 1",14.970736,-4.969356
2107,"Nseke-Nsandi 2",14.970357,-4.97283
2109,"Kindoki 5",15.019167,-5.073056
2111,"Kindoki 1",15.025,-5.075
2113,"Yindula",15.243793,-5.319253
2117,"Vooka di Ntoko",15.263217,-5.534784
2119,"Vooka di Lenga",15.29763,-5.609228
2121,"Vooka di Sadi",15.304963,-5.611931
2123,"Vooka di Kimbongo 1",15.288281,-5.702055
2125,"Vooka di Mbanza",15.254202,-5.762032
2127,"Kongolo 1",15.264153,-5.845408
2016,"Pangala",15.22556,-5.85972
2129,"Tadi dia Mbele",15.13944,-5.84583
2131,"Kilumbu",15.14111,-5.77583
2133,"Vooka di Kitsiele",15.153387,-5.7303
2019,"Ngongo Lemba",15.14861,-5.83944
2044,"Kingondo 1",15.13194,-5.75694
2043,"Kinsala vieux",15.05389,-5.79722
2007,"Kibula",15.21272,-5.64782
2002,"Vooka di Ntoko",15.26322,-5.53478
1988,"Kibula",15.03684,-4.86186
2093,"Ndongo",13.793041,-5.454083
1442,"Losombo",19.093138,1.107802
1445,"Bonkita",19.550204,1.269322
1446,"Basankusu",19.802942,1.227045
1459,"Ngongo",21.385648,0.118084
1463,"Lokonge",21.831469,0.087605
1448,"Botumbela",20.014264,1.149307
1533,"Evinayong",9.65,0.6
1464,"Tofumbo",22.006525,0.050859
1483,"Zongo",18.595546,4.351783
1466,"Lioko",22.10606,0.098642
1482,"Mbouamboua",16.213037,1.448394
1506,"Bidjouka",10.50152,3.137308
1509,"Binguela II",11.373486,3.740573
1467,"Befori",22.399409,0.166597
1461,"Nguma",21.423514,0.108218
1470,"Libiya",20.153246,1.313028
1471,"Manjinji",20.233979,1.334905
1475,"Bosulu",20.650364,1.446656
1477,"Inkunji",20.959728,1.503697
1478,"Bongandanga",21.072951,1.50712
1521,"Cap Lopez",8.781164,-0.772646
1216,"Mukila",16.986153,-5.015621
2045,"Kazu 1",13.73944,-5.49806
2115,"Vooka di Mbanza Mpangu",15.271109,-5.478005
2096,"Luenda",13.81885,-5.462873
2112,"Vooka di Kindabi",15.145076,-5.185777
2086,"Bu 5b",13.78,-5.4472
2116,"Kiyenga",15.282682,-5.519635
1991,"Kinto",15.12687,-4.98111
1996,"Vooka du Mbanza Mpangu",15.27111,-5.47801
1976,"Kazu 4",13.73236,-5.51733
2091,"Nkondo 1",13.791596,-5.458541
2087,"Bu 4",13.7822,-5.4485
1480,"Nkomba",21.594268,2.174369
1106,"Motoli",16.467736,1.227602
1460,"Tokoto",21.397032,0.116191
1148,"Ngbanja",18.092242,1.665022
1472,"Isanjani",20.232569,1.31586
2418,"MO6",17.515512,3.7388
1285,"Loango",11.790278,-4.65
1476,"Mokonja",20.677667,1.483026
1088,"Bili",16.9012,0.511441
1112,"Pikunda",16.636105,0.549857
1468,"Yopoko",22.342933,0.164537
1486,"Sabélé",16.188058,3.334174
2419,"MO7",17.518452,3.740256
1485,"Sakao",16.145396,2.174978
1479,"Lisala",21.51668,2.150083
1132,"Gbandami",19.815534,5.111067
2420,"MO8",17.508173,3.738072
1528,"Doumba",12.2202,4.575913
1538,"Hinda",11.95,4.7
1529,"Ekak",11.92725,4.4553
1551,"Ko Bi Doe",15.9,6.3
1162,"Bamanya",18.313082,0.008471
1079,"Nkile",18.674585,-0.104198
1587,"Meyang",12.686669,4.776613
1434,"Bolongo",18.514476,0.773259
1437,"Bonginda I",18.754714,0.957267
1435,"Ingonda Bosopela",18.549522,0.792926
2421,"MO9",17.50665,3.738158
1047,"Epena",17.448092,1.353924
1051,"Jeke",17.306587,1.056931
1045,"Ebambe",17.394327,0.289744
1055,"Lokolélé",17.417014,-0.096843
1307,"Bokenyola",18.64359,-0.312474
1537,"Gangalingolo",15.15,-4.216667
1267,"Ifondo",16.908795,0.481301
1546,"Kamabanga I",13.083333,-9.05
1266,"Fulu-Kaba",18.832081,3.086272
1534,"Ewankang",12.851953,4.804371
1481,"Yatou",9.816666,3.627603
1520,"Campo Beach",9.826389,2.350556
1301,"Nzabi",14.45,-2.383333
1436,"Mampoko",18.676144,0.864003
1269,"Imboto",18.586728,2.919052
1688,"Buru",26.904011,3.738526
1586,"Meningue",11.771606,-4.274181
2422,"MO11",17.505899,3.726049
1553,"Koukony",13.063387,4.849055
1555,"Kribi",9.91083,2.93131
1251,"Zoatoupsi",11.389442,3.809776
1532,"Essong Missang",11.581042,4.091245
1616,"Nanga Eboko",12.394414,4.648814
1583,"Mbengue",10.15,3.783333
1560,"Leboudi",11.423632,3.922875
1566,"Lombo",12.183333,-4.55
1666,"Tandou-Youmbi",11.69056,-4.41639
1663,"Sou",14.7,12.2
1080,"Ikenge",18.781467,-0.121739
1658,"Sanga",26.490215,-8.182107
1627,"Ntadi Ntadi",14.579839,-5.745826
1657,"Salak",14.25,10.433333
1662,"Sou Blame Radjil",14.683333,12.2
1584,"Mbilape 4",9.145121,-0.871556
1695,"Sikilongo",18.56,3.65
1649,"Remboue 1",9.938122,-0.177925
1653,"Remboue 3",9.95907,-0.196856
2250,"Otoumbi 16",11.117051,-0.077076
1692,"Pendèrè-Senguè/Gobongo 1",18.5529,4.42655
1608,"Moukounounou",15.3358,1.9439
1684,"Gba",11.459002,5.650273
1665,"Kribi-Talla",9.909722,2.930278
1619,"Ndjore",11.828533,4.395964
1699,"Kamalete",11.765497,-0.698869
1678,"Goray",14.5,10.5
1637,"ORSTOM Concession",15.233333,-4.266667
1674,"Yebi",13.319878,4.97257
1565,"Lom 1",13.490392,5.404084
1330,"Boyela",19.448024,-0.604996
1339,"Lombe",19.806854,-1.232534
1340,"Mpumo",19.69613,-0.81107
1358,"Boangi",20.883252,-1.914095
1368,"Bompoma",19.785357,-0.592796
1387,"Bosanga",20.707786,-0.367448
1391,"Ilemba",21.091844,-0.257459
1393,"Enaja",21.239008,-0.232434
1394,"Iyongo-Iyanko",21.26231,-0.311637
1395,"Isambo-Elongo",21.483199,-0.365773
1398,"Nkoma",21.752442,-0.511961
1405,"Bokungu Moke",22.351465,-0.61843
1427,"Lokumo",19.041374,0.351338
1432,"Isia",18.304065,0.263701
1447,"Molanga",20.012349,1.142068
1456,"Bompanga-Nganda",20.970916,0.459559
1465,"Mpokioko",22.065166,0.078294
1474,"Jombo-Etat",20.384859,1.34994
1302,"Bomane Yangwa",23.81738,1.3028
1484,"Ponga",15.63333,1.933333
1550,"Kitala II",13.083333,-9.033333
1198,"Lalara 1",11.436242,0.349261
1280,"Bittori",14.502274,-3.904596
1417,"Bondo",24.086096,-1.349174
1503,"Beka Petel",14.420556,6.771009
1313,"Mpaku",18.569835,-0.143326
1315,"Ikua",18.646181,-0.10702
1178,"Dibamba",9.8215,3.995833
1527,"Djaoro Mbama",14.744678,7.094325
1191,"Issemeyo 7",11.398403,0.303883
1190,"Issemeyo 4",11.3891,0.300172
1185,"Epona 1",11.140278,-0.090278
1186,"Epona 2",11.146389,-0.1
1192,"Kafele 2",10.043741,0.199813
1631,"Ofoubou 16",9.914995,-1.669342
1650,"Remboue 11",9.952948,-0.182647
1633,"Ofoubou 5",9.918428,-1.655958
1693,"Lingbadongo",18.533333,3.816667
1651,"Remboue 15",9.94864,-0.185394
1596,"Minyin",11.331313,2.37658
1498,"Bagofit",13.114,4.002778
1181,"Ebel Alembe 1",11.112578,0.133592
1182,"Ebel Alembe 2",11.116125,0.133592
1253,"Malapa",15.2525,2.0289
1321,"Benkombo",18.886707,-0.253658
1223,"Njikang",10.861111,6.4625
1184,"Eboundja 3",9.889444,2.788889
1188,"Gombe-Point",15.280791,-4.300597
1189,"Ikengue 1",9.498611,-1.5
1256,"Bokala",18.266373,-0.467608
1260,"Akak",12.345733,4.649533
1255,"Ndangayé",15.8141,2.38736
1319,"Bokenda",18.850796,-0.215793
1183,"Ebomé",9.906111,2.906667
1320,"Longa",18.881382,-0.247706
1802,"Mbé",15.89417,-3.305
1576,"Malekou",9.477768,0.452495
1890,"Bali River 1",14.21667,5.76667
1821,"Gbandwa",21.736667,4.563333
1669,"Toala",15.998333,6.352778
1610,"Kribi-Mpoengu",9.912222,2.926944
1829,"Ndele (Pos A)",16.870005,3.650128
1902,"Landjoué",15.361629,0.76502
1855,"Loubanzi",11.87285,-4.501975
1795,"Nana-Modé",15.1,6.316667
1873,"Nsele",15.55028,-4.23444
1286,"Point-Noire, Embouchure de la Songolo",11.85,-4.755556
1283,"Côte Sauvage",11.948611,-4.916667
1245,"Sablière",9.383333,0.5
